,Text of Tweet,# of Likes,# of Retweets,Date Tweeted,User,Sentiment of the Tweet,# of Media Items in Tweet
130,LETS US BE FREE @covid,1,0,Wed Sep 23 08:08:00 +0000 2020,Hoodie Papí,positive,None
131,"@LaoTzu5 @dionysuslilipu1 @RANTER_DAD @IrishBackstop1 @Janekelly25 @JustinBaileyart @Tararabumdeay0 @MumofFatCassie @jajhed1 @SJR78354712 @pondOFthoughts @Wurzelg3 @LiamThorpECHO @COVID19 @BBCPM @DavidOlusoga @taylor_stevie @danroan @JamesDelingpole @MrJoshPerry @GMB @SkyNews @BBCNews @Channel4News @bbc5live @BBCr4today @BBCRadio4 @HugoWinogradsky @skygillian @NickyAACampbell @ryantubridy @coronavirus @Rentadad @TonyBlair @campbellclaret @BBCNewsnight @lottery @covid @CovOddballs @itvnews @MayaGoodfellow @GaryLineker @billybragg @KamalaHarris @BarackObama it's funny there were no Chinese or oriental composers who were ""overlooked"" by the western canon or repertoire
@LennyHenry @SuzieKlein #TFTD @BBCRadio4 @BBCRadio3 @ClassicFM",0,0,Wed Sep 23 06:55:18 +0000 2020,Alexei Romanov #NotABot - In a Castle on a Cloud,positive,None
132,"Ok heres an ANSWER!!! THAILAND HAS 69 million California 41 million. Thailand 3,425 @corona cases 59 deaths. Calif 799,240 cases. 15,259 dead. 28 million less people. 795k more cases. 28 million less people 15,190 more dead. What's the difference. Pizza cereal cakes cookies pies",0,1,Wed Sep 23 06:54:38 +0000 2020,Richard lynn Schermerhorn,positive,None
133,@michaelthups @BaAndABoAndABei @LilNasX @corona Virus is not programmed to affect only specific people and no one is exceptional. If it is created to depopulate half of the world then you can be one among themself. So according to me only brainless will wait counting depopulation 2 release cure thinking he will not be affected,0,0,Wed Sep 23 06:44:55 +0000 2020,Sathish Krish,positive,None
134,"@LilNasX @corona Who else uses water guns inna music video? 👀🔫
❗️LIKE N SUBSCRIBE❗️
I juss got VERIFIED on YouTube ✅
#DpMula #Address #TrapArtist

https://t.co/l23gXM5hgD",0,0,Wed Sep 23 06:20:40 +0000 2020,GG ✘ DpMula ✘,neutral,None
135,@LilNasX @corona Athavale? Is that you??,1,0,Wed Sep 23 06:06:53 +0000 2020,Shvetang,neutral,None
136,@corona get AWAY FROM ME https://t.co/sgVCbDZO42,0,0,Wed Sep 23 06:00:59 +0000 2020,Dalton 🎞,neutral,None
137,choose our certified mask @COVID-19 @covid19nz https://t.co/tgajj7H76K,0,0,Wed Sep 23 05:56:18 +0000 2020,essy medical,neutral,1
138,@covid please just give us a break 😫😫🥺🥺,0,0,Wed Sep 23 05:43:11 +0000 2020,hehe,neutral,None
139,"Compared to before Covid-19, 42% consumers are hesitant to visit pubs, and instead are turning to in-home occasions to treat themselves, resulting in the growth of larger packs and meal deals in Convenience. Stock up with @BudweiserUK @StellaArtoisUK @corona @BudLightUK now. https://t.co/1emMppEevf",0,0,Wed Sep 23 05:34:04 +0000 2020,Budweiser Brewing Group UK&I Convenience,neutral,1
140,@LilNasX @corona STOP THIS MADNESS,1,0,Wed Sep 23 04:51:31 +0000 2020,ϟ 𝘮𝘪𝘯(𝓪) ϟ,neutral,None
